% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
38165 +1.535154271e-03 +1.535154271e-03 +7.948153515e+01 +7.948000000e+01 +2.5983e-01 -1.1547e+00 -7.2252e-01 +1.9169e+00 -2.6909e+00 +4.4941e-01 -1.0688e-01 +1.1931e-01 -1.6540e+00 -3.0371e+00 -3.8441e+00 +2.0114e+00 +1.0745e+00 -8.7250e-02 +3.6467e+00 +2.9094e+00 -1.2538e-01 -3.9130e+00 +2.3742e+00 +1.3581e+00
88772 +8.889502638e-04 +8.889502638e-04 +7.948088895e+01 +7.948000000e+01 +2.5983e-01 -1.1547e+00 -7.2252e-01 +1.9169e+00 -2.6909e+00 +4.4941e-01 -1.0688e-01 +1.1931e-01 -1.6305e+00 -3.0371e+00 -3.8571e+00 +2.0114e+00 +1.0745e+00 -8.7250e-02 +3.6467e+00 +2.9094e+00 -1.2538e-01 -3.9287e+00 +2.3657e+00 +1.3581e+00
90769 +6.084343239e-04 +6.084343239e-04 +7.948060843e+01 +7.948000000e+01 +2.5983e-01 -1.1547e+00 -7.2252e-01 +1.9215e+00 -2.6873e+00 +4.4941e-01 -1.0688e-01 +1.1931e-01 -1.6305e+00 -3.0579e+00 -3.8571e+00 +2.0114e+00 +1.0745e+00 -8.7250e-02 +3.6467e+00 +2.9094e+00 -1.2538e-01 -3.9287e+00 +2.3657e+00 +1.3581e+00
92240 +3.869175107e-04 +3.869175107e-04 +7.948038692e+01 +7.948000000e+01 +2.5432e-01 -1.1547e+00 -7.2252e-01 +1.9215e+00 -2.6873e+00 +4.3185e-01 -1.1746e-01 +1.2009e-01 -1.6327e+00 -3.0579e+00 -3.8571e+00 +2.0114e+00 +1.0745e+00 -8.7250e-02 +3.6467e+00 +2.9094e+00 -1.2538e-01 -3.9287e+00 +2.3657e+00 +1.3581e+00
94615 +2.384865683e-04 +2.384865683e-04 +7.948023849e+01 +7.948000000e+01 +2.5432e-01 -1.1547e+00 -7.2252e-01 +1.9215e+00 -2.6873e+00 +4.3185e-01 -1.1746e-01 +1.2009e-01 -1.6327e+00 -3.0579e+00 -3.8571e+00 +2.0114e+00 +1.0864e+00 -8.7250e-02 +3.6467e+00 +2.9094e+00 -1.2538e-01 -3.9287e+00 +2.3643e+00 +1.3581e+00
160949 +1.567214217e-04 +1.567214217e-04 +7.948015672e+01 +7.948000000e+01 +2.5432e-01 -1.1547e+00 -7.2252e-01 +1.9224e+00 -2.6873e+00 +4.3185e-01 -1.1746e-01 +1.2009e-01 -1.6359e+00 -3.0535e+00 -3.8537e+00 +2.0114e+00 +1.0864e+00 -8.7250e-02 +3.6467e+00 +2.9094e+00 -1.2538e-01 -3.9287e+00 +2.3643e+00 +1.3581e+00
165749 +7.701876127e-05 +7.701876127e-05 +7.948007702e+01 +7.948000000e+01 +2.5432e-01 -1.1547e+00 -7.2252e-01 +1.9232e+00 -2.6873e+00 +4.3845e-01 -1.1655e-01 +1.2009e-01 -1.6359e+00 -3.0535e+00 -3.8537e+00 +2.0169e+00 +1.0864e+00 -8.7250e-02 +3.6467e+00 +2.9094e+00 -1.2538e-01 -3.9287e+00 +2.3643e+00 +1.3581e+00
197687 +4.291961882e-05 +4.291961882e-05 +7.948004292e+01 +7.948000000e+01 +2.5432e-01 -1.1547e+00 -7.2516e-01 +1.9256e+00 -2.6828e+00 +4.3779e-01 -1.1746e-01 +1.2009e-01 -1.6359e+00 -3.0535e+00 -3.8571e+00 +2.0170e+00 +1.0864e+00 -8.7250e-02 +3.6467e+00 +2.9094e+00 -1.2538e-01 -3.9287e+00 +2.3643e+00 +1.3581e+00
243025 +3.599203664e-05 +3.599203664e-05 +7.948003599e+01 +7.948000000e+01 +2.5432e-01 -1.1547e+00 -7.2252e-01 +1.9275e+00 -2.6771e+00 +4.3845e-01 -1.1655e-01 +1.2009e-01 -1.6359e+00 -3.0535e+00 -3.8537e+00 +2.0166e+00 +1.0864e+00 -8.7250e-02 +3.6467e+00 +2.9094e+00 -1.2538e-01 -3.9287e+00 +2.3631e+00 +1.3581e+00
280882 +2.157225063e-05 +2.157225063e-05 +7.948002157e+01 +7.948000000e+01 +2.5432e-01 -1.1547e+00 -7.2516e-01 +1.9264e+00 -2.6828e+00 +4.3845e-01 -1.1655e-01 +1.2009e-01 -1.6362e+00 -3.0503e+00 -3.8537e+00 +2.0169e+00 +1.0864e+00 -8.7250e-02 +3.6467e+00 +2.9094e+00 -1.2538e-01 -3.9287e+00 +2.3607e+00 +1.3581e+00
365863 +1.351885591e-05 +1.351885591e-05 +7.948001352e+01 +7.948000000e+01 +2.5265e-01 -1.1571e+00 -7.2323e-01 +1.9264e+00 -2.6828e+00 +4.3845e-01 -1.1655e-01 +1.2009e-01 -1.6362e+00 -3.0503e+00 -3.8537e+00 +2.0169e+00 +1.0864e+00 -8.5980e-02 +3.6467e+00 +2.9094e+00 -1.2538e-01 -3.9287e+00 +2.3607e+00 +1.3581e+00
393627 +9.397952780e-06 +9.397952780e-06 +7.948000940e+01 +7.948000000e+01 +2.5265e-01 -1.1571e+00 -7.2323e-01 +1.9264e+00 -2.6826e+00 +4.3845e-01 -1.1655e-01 +1.2009e-01 -1.6362e+00 -3.0516e+00 -3.8537e+00 +2.0166e+00 +1.0864e+00 -8.5980e-02 +3.6467e+00 +2.9094e+00 -1.2538e-01 -3.9287e+00 +2.3631e+00 +1.3581e+00
516230 +6.244179346e-06 +6.244179346e-06 +7.948000624e+01 +7.948000000e+01 +2.5246e-01 -1.1571e+00 -7.2434e-01 +1.9264e+00 -2.6824e+00 +4.3845e-01 -1.1655e-01 +1.2009e-01 -1.6378e+00 -3.0516e+00 -3.8537e+00 +2.0166e+00 +1.0864e+00 -8.5980e-02 +3.6467e+00 +2.9094e+00 -1.2538e-01 -3.9287e+00 +2.3631e+00 +1.3581e+00
557025 +3.199457851e-06 +3.199457851e-06 +7.948000320e+01 +7.948000000e+01 +2.5265e-01 -1.1571e+00 -7.2434e-01 +1.9264e+00 -2.6808e+00 +4.3845e-01 -1.1655e-01 +1.2009e-01 -1.6378e+00 -3.0515e+00 -3.8537e+00 +2.0166e+00 +1.0864e+00 -8.5980e-02 +3.6467e+00 +2.9088e+00 -1.2538e-01 -3.9287e+00 +2.3631e+00 +1.3581e+00
637963 +2.401797360e-06 +2.401797360e-06 +7.948000240e+01 +7.948000000e+01 +2.5265e-01 -1.1571e+00 -7.2434e-01 +1.9264e+00 -2.6808e+00 +4.3845e-01 -1.1655e-01 +1.2009e-01 -1.6378e+00 -3.0515e+00 -3.8537e+00 +2.0160e+00 +1.0864e+00 -8.5980e-02 +3.6467e+00 +2.9088e+00 -1.2538e-01 -3.9280e+00 +2.3631e+00 +1.3581e+00
753694 +1.309745130e-06 +1.309745130e-06 +7.948000131e+01 +7.948000000e+01 +2.5265e-01 -1.1571e+00 -7.2434e-01 +1.9264e+00 -2.6808e+00 +4.3864e-01 -1.1655e-01 +1.2009e-01 -1.6374e+00 -3.0513e+00 -3.8537e+00 +2.0160e+00 +1.0864e+00 -8.5980e-02 +3.6467e+00 +2.9088e+00 -1.2478e-01 -3.9282e+00 +2.3627e+00 +1.3581e+00
786663 +9.833016179e-07 +9.833016179e-07 +7.948000098e+01 +7.948000000e+01 +2.5265e-01 -1.1571e+00 -7.2434e-01 +1.9264e+00 -2.6808e+00 +4.3951e-01 -1.1655e-01 +1.2009e-01 -1.6376e+00 -3.0515e+00 -3.8537e+00 +2.0160e+00 +1.0864e+00 -8.5980e-02 +3.6475e+00 +2.9088e+00 -1.2478e-01 -3.9280e+00 +2.3621e+00 +1.3581e+00
928383 +6.115198943e-07 +6.115198943e-07 +7.948000061e+01 +7.948000000e+01 +2.5265e-01 -1.1568e+00 -7.2434e-01 +1.9264e+00 -2.6808e+00 +4.3951e-01 -1.1655e-01 +1.2009e-01 -1.6376e+00 -3.0513e+00 -3.8537e+00 +2.0160e+00 +1.0864e+00 -8.5980e-02 +3.6471e+00 +2.9088e+00 -1.2478e-01 -3.9282e+00 +2.3624e+00 +1.3582e+00
1060050 +3.933115380e-07 +3.933115380e-07 +7.948000039e+01 +7.948000000e+01 +2.5265e-01 -1.1568e+00 -7.2434e-01 +1.9264e+00 -2.6808e+00 +4.3948e-01 -1.1655e-01 +1.2009e-01 -1.6376e+00 -3.0513e+00 -3.8537e+00 +2.0160e+00 +1.0864e+00 -8.6492e-02 +3.6471e+00 +2.9088e+00 -1.2478e-01 -3.9280e+00 +2.3624e+00 +1.3582e+00
1172485 +2.374741683e-07 +2.374741683e-07 +7.948000024e+01 +7.948000000e+01 +2.5265e-01 -1.1568e+00 -7.2409e-01 +1.9264e+00 -2.6808e+00 +4.3903e-01 -1.1655e-01 +1.2009e-01 -1.6376e+00 -3.0513e+00 -3.8537e+00 +2.0160e+00 +1.0864e+00 -8.6492e-02 +3.6471e+00 +2.9088e+00 -1.2478e-01 -3.9280e+00 +2.3624e+00 +1.3582e+00
1575775 +1.522167850e-07 +1.522167850e-07 +7.948000015e+01 +7.948000000e+01 +2.5265e-01 -1.1568e+00 -7.2403e-01 +1.9264e+00 -2.6808e+00 +4.3903e-01 -1.1690e-01 +1.2009e-01 -1.6376e+00 -3.0513e+00 -3.8536e+00 +2.0160e+00 +1.0864e+00 -8.6492e-02 +3.6472e+00 +2.9088e+00 -1.2478e-01 -3.9280e+00 +2.3624e+00 +1.3582e+00
1703139 +7.514316280e-08 +7.514316280e-08 +7.948000008e+01 +7.948000000e+01 +2.5265e-01 -1.1568e+00 -7.2403e-01 +1.9264e+00 -2.6808e+00 +4.3924e-01 -1.1690e-01 +1.2009e-01 -1.6376e+00 -3.0513e+00 -3.8537e+00 +2.0160e+00 +1.0864e+00 -8.6492e-02 +3.6472e+00 +2.9088e+00 -1.2478e-01 -3.9280e+00 +2.3624e+00 +1.3584e+00
1804168 +6.239119443e-08 +6.239119443e-08 +7.948000006e+01 +7.948000000e+01 +2.5265e-01 -1.1568e+00 -7.2403e-01 +1.9264e+00 -2.6808e+00 +4.3924e-01 -1.1690e-01 +1.2009e-01 -1.6376e+00 -3.0512e+00 -3.8536e+00 +2.0160e+00 +1.0864e+00 -8.6492e-02 +3.6472e+00 +2.9088e+00 -1.2478e-01 -3.9280e+00 +2.3624e+00 +1.3584e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.330786872e+02 +3.330786872e+02 +7.275586872e+02 +3.944800000e+02 -1.8962e-01 -6.7822e-01 +4.7948e+00 +4.2216e+00 +3.2261e+00 -1.2689e+00 -3.3583e+00 -4.1555e+00 -2.0167e+00 +7.2039e-01 +2.7559e+00 +4.1271e+00 +4.2361e+00 -2.5937e+00 +2.1215e+00 -1.6701e+00 -4.1627e+00 +3.0509e+00 +3.3263e+00 +3.9590e+00
395 +1.072443637e+02 +1.072443637e+02 +5.017243637e+02 +3.944800000e+02 -1.2264e-01 -2.0355e+00 -1.9301e+00 +1.7883e+00 +1.1974e+00 -3.4638e+00 +3.9181e+00 +2.2811e+00 -8.6607e-01 +5.2741e-01 -2.0894e+00 +2.0654e-01 +1.7084e+00 +2.7308e+00 -3.5108e+00 +1.8191e+00 +1.9274e+00 -4.3016e+00 +1.6946e+00 +3.0866e+00
576 +7.432417843e+01 +7.432417843e+01 +4.688041784e+02 +3.944800000e+02 -2.2687e+00 -8.1554e-01 -2.1319e+00 +2.9431e+00 +2.6634e+00 -4.2589e+00 +2.7455e+00 -2.6885e+00 -1.7215e+00 -3.7002e+00 -2.3306e+00 -1.7126e+00 +3.9604e+00 +4.2500e+00 -9.3188e-02 +4.3057e+00 -4.2328e+00 +2.1524e-01 +3.5759e-01 +9.9357e-01
758 +4.716284890e+01 +4.716284890e+01 +4.416428489e+02 +3.944800000e+02 -6.3786e-01 -1.8320e+00 -2.1367e+00 +2.5329e+00 +1.1606e+00 -2.1881e+00 +2.7455e+00 -2.6885e+00 -1.7215e+00 -1.2087e+00 +3.6542e+00 +4.8063e-01 +2.0388e+00 +2.8493e+00 -4.0220e+00 +4.4201e+00 -4.3970e-02 +2.1524e-01 +3.5759e-01 +5.7077e-01
938 +3.259092132e+01 +3.259092132e+01 +4.270709213e+02 +3.944800000e+02 -6.3786e-01 -3.1833e+00 -2.1367e+00 +3.4550e+00 +1.1974e+00 -3.5925e+00 +1.7432e+00 -2.4345e+00 -4.1141e-01 -3.2766e+00 +3.6542e+00 +2.0654e-01 +1.7084e+00 +2.7308e+00 -3.7044e+00 +4.3057e+00 -4.2328e+00 +2.1524e-01 +3.5759e-01 +9.9357e-01
1306 +2.461512965e+01 +2.461512965e+01 +4.190951296e+02 +3.944800000e+02 -2.2687e+00 -8.1554e-01 -2.5527e+00 +3.4550e+00 +1.1974e+00 -4.6237e+00 +2.7455e+00 -2.6885e+00 -1.7215e+00 -3.2766e+00 +1.8385e+00 +4.1859e-01 +1.7084e+00 +2.8493e+00 -4.0220e+00 +4.4201e+00 -4.2328e+00 -2.3054e-01 +3.5759e-01 +9.9357e-01
2235 +1.291309685e+01 +1.291309685e+01 +4.073930969e+02 +3.944800000e+02 -3.0771e+00 -3.1833e+00 -2.6189e+00 +3.4550e+00 +1.1974e+00 -3.5925e+00 +2.4981e+00 -2.6885e+00 -6.6118e-01 -3.2766e+00 +1.8385e+00 +8.4821e-01 +1.7084e+00 +2.7308e+00 -3.5108e+00 +4.3057e+00 -3.8602e+00 -9.6677e-01 +3.5759e-01 +9.9357e-01
2794 +9.162339670e+00 +9.162339670e+00 +4.036423397e+02 +3.944800000e+02 -3.0771e+00 -3.0645e+00 -2.6189e+00 +3.4550e+00 +1.1974e+00 -3.4638e+00 +3.6697e+00 -2.4345e+00 -4.1141e-01 -3.2766e+00 +1.7645e+00 +1.3448e+00 +1.7084e+00 +2.7308e+00 -4.0220e+00 +3.1570e+00 -3.8602e+00 -8.4930e-01 +3.5759e-01 +9.9357e-01
3353 +6.178093951e+00 +6.178093951e+00 +4.006580940e+02 +3.944800000e+02 -3.0771e+00 -3.1833e+00 -2.8390e+00 +3.6916e+00 +5.0708e-01 -3.4638e+00 +3.6697e+00 -1.9479e+00 -9.0536e-01 -3.2115e+00 +1.8385e+00 +8.4821e-01 +1.7084e+00 +3.3694e+00 -3.5108e+00 +3.1570e+00 -3.8602e+00 -8.4930e-01 +3.5759e-01 +9.9357e-01
3883 +3.249071277e+00 +3.249071277e+00 +3.977290713e+02 +3.944800000e+02 -3.7736e+00 -3.1833e+00 -3.8053e+00 +3.6916e+00 +1.1974e+00 -3.4638e+00 +3.0254e+00 -9.6575e-01 -9.0536e-01 -3.2115e+00 +1.8385e+00 +8.4821e-01 +1.6447e+00 +3.3694e+00 -3.5108e+00 +3.1570e+00 -3.8602e+00 -8.4930e-01 +6.5459e-01 +9.9357e-01
4062 +2.070836092e+00 +2.070836092e+00 +3.965508361e+02 +3.944800000e+02 -3.7736e+00 -3.1833e+00 -3.8053e+00 +3.4550e+00 +1.1974e+00 -3.4638e+00 +3.6697e+00 -1.0904e+00 -9.0536e-01 -3.2115e+00 +1.8385e+00 +1.3448e+00 +1.7084e+00 +3.3694e+00 -3.5108e+00 +3.1570e+00 -2.9861e+00 -8.4930e-01 +3.5759e-01 +9.9357e-01
4248 +1.580349127e+00 +1.580349127e+00 +3.960603491e+02 +3.944800000e+02 -3.7736e+00 -3.1833e+00 -3.8053e+00 +3.6916e+00 +5.0708e-01 -3.4638e+00 +3.6697e+00 -1.0904e+00 -9.0536e-01 -3.2115e+00 +1.7645e+00 +1.3448e+00 +1.7084e+00 +3.3694e+00 -3.5108e+00 +3.1570e+00 -2.9598e+00 -1.3406e+00 +5.8219e-02 +9.9357e-01
