% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
56559 +2.451715297e-03 +2.451715297e-03 +2.671624517e+02 +2.671600000e+02 -2.9106e+00 -3.6583e+00 -3.4643e+00 -1.8796e+00 +3.3540e+00 -1.7907e+00 +1.0957e+00 -2.1875e+00 -3.6063e+00 +1.5617e+00 -2.1643e+00 +4.7899e-01 +3.5922e-01 -2.0369e+00 -2.9133e+00 +8.3869e-01 -9.0179e-01 +2.4483e+00 +4.3581e-01 -2.2627e+00
76076 +1.187909091e-03 +1.187909091e-03 +2.671611879e+02 +2.671600000e+02 -2.9177e+00 -3.6363e+00 -3.4596e+00 -1.8853e+00 +3.3561e+00 -1.7859e+00 +1.1061e+00 -2.1660e+00 -3.6072e+00 +1.5635e+00 -2.1751e+00 +4.6561e-01 +3.4581e-01 -2.0407e+00 -2.9111e+00 +8.4410e-01 -9.1354e-01 +2.4681e+00 +4.4073e-01 -2.2884e+00
124207 +8.458814857e-04 +8.458814857e-04 +2.671608459e+02 +2.671600000e+02 -2.9282e+00 -3.6523e+00 -3.4652e+00 -1.8710e+00 +3.3521e+00 -1.7766e+00 +1.1057e+00 -2.1712e+00 -3.5980e+00 +1.5564e+00 -2.1838e+00 +4.6478e-01 +3.7060e-01 -2.0407e+00 -2.9094e+00 +8.5996e-01 -9.1016e-01 +2.4617e+00 +4.5889e-01 -2.2654e+00
130842 +6.182968411e-04 +6.182968411e-04 +2.671606183e+02 +2.671600000e+02 -2.9435e+00 -3.6410e+00 -3.4643e+00 -1.8796e+00 +3.3540e+00 -1.7907e+00 +1.1155e+00 -2.1573e+00 -3.6063e+00 +1.5617e+00 -2.1839e+00 +4.6673e-01 +3.6679e-01 -2.0494e+00 -2.9053e+00 +8.3869e-01 -9.0445e-01 +2.4617e+00 +4.4518e-01 -2.2654e+00
159324 +3.965675130e-04 +3.965675130e-04 +2.671603966e+02 +2.671600000e+02 -2.9177e+00 -3.6363e+00 -3.4643e+00 -1.8796e+00 +3.3540e+00 -1.7859e+00 +1.1061e+00 -2.1683e+00 -3.6058e+00 +1.5600e+00 -2.1751e+00 +4.6561e-01 +3.5922e-01 -2.0407e+00 -2.9111e+00 +8.4410e-01 -9.1354e-01 +2.4574e+00 +4.5877e-01 -2.2627e+00
173946 +2.464828763e-04 +2.464828763e-04 +2.671602465e+02 +2.671600000e+02 -2.9282e+00 -3.6363e+00 -3.4612e+00 -1.8853e+00 +3.3561e+00 -1.7859e+00 +1.1061e+00 -2.1683e+00 -3.6072e+00 +1.5635e+00 -2.1751e+00 +4.6561e-01 +3.6679e-01 -2.0502e+00 -2.9111e+00 +8.4410e-01 -9.0598e-01 +2.4617e+00 +4.5693e-01 -2.2654e+00
231781 +1.431963314e-04 +1.431963314e-04 +2.671601432e+02 +2.671600000e+02 -2.9331e+00 -3.6363e+00 -3.4643e+00 -1.8776e+00 +3.3534e+00 -1.7859e+00 +1.1061e+00 -2.1683e+00 -3.6063e+00 +1.5617e+00 -2.1751e+00 +4.6673e-01 +3.6679e-01 -2.0494e+00 -2.9053e+00 +8.4410e-01 -9.0445e-01 +2.4617e+00 +4.5877e-01 -2.2682e+00
233605 +8.079006648e-05 +8.079006648e-05 +2.671600808e+02 +2.671600000e+02 -2.9304e+00 -3.6363e+00 -3.4643e+00 -1.8776e+00 +3.3534e+00 -1.7859e+00 +1.1061e+00 -2.1683e+00 -3.6036e+00 +1.5617e+00 -2.1751e+00 +4.6673e-01 +3.6679e-01 -2.0494e+00 -2.9053e+00 +8.4410e-01 -9.0445e-01 +2.4617e+00 +4.4905e-01 -2.2682e+00
252862 +5.891518947e-05 +5.891518947e-05 +2.671600589e+02 +2.671600000e+02 -2.9282e+00 -3.6363e+00 -3.4643e+00 -1.8796e+00 +3.3540e+00 -1.7859e+00 +1.1064e+00 -2.1683e+00 -3.6058e+00 +1.5600e+00 -2.1771e+00 +4.6637e-01 +3.6679e-01 -2.0439e+00 -2.9076e+00 +8.4410e-01 -9.0598e-01 +2.4617e+00 +4.5443e-01 -2.2696e+00
297411 +3.848415787e-05 +3.848415787e-05 +2.671600385e+02 +2.671600000e+02 -2.9285e+00 -3.6366e+00 -3.4643e+00 -1.8796e+00 +3.3540e+00 -1.7857e+00 +1.1093e+00 -2.1683e+00 -3.6063e+00 +1.5596e+00 -2.1797e+00 +4.6673e-01 +3.6180e-01 -2.0494e+00 -2.9059e+00 +8.4410e-01 -9.0837e-01 +2.4617e+00 +4.5245e-01 -2.2695e+00
345176 +2.180775289e-05 +2.180775289e-05 +2.671600218e+02 +2.671600000e+02 -2.9282e+00 -3.6363e+00 -3.4643e+00 -1.8796e+00 +3.3540e+00 -1.7859e+00 +1.1093e+00 -2.1683e+00 -3.6017e+00 +1.5600e+00 -2.1771e+00 +4.6637e-01 +3.6180e-01 -2.0439e+00 -2.9076e+00 +8.4410e-01 -9.0754e-01 +2.4617e+00 +4.5245e-01 -2.2696e+00
403226 +1.458591231e-05 +1.458591231e-05 +2.671600146e+02 +2.671600000e+02 -2.9304e+00 -3.6363e+00 -3.4643e+00 -1.8776e+00 +3.3534e+00 -1.7859e+00 +1.1093e+00 -2.1683e+00 -3.6036e+00 +1.5600e+00 -2.1771e+00 +4.6673e-01 +3.6180e-01 -2.0466e+00 -2.9076e+00 +8.4410e-01 -9.0598e-01 +2.4617e+00 +4.5245e-01 -2.2696e+00
433800 +9.085058537e-06 +9.085058537e-06 +2.671600091e+02 +2.671600000e+02 -2.9282e+00 -3.6364e+00 -3.4643e+00 -1.8783e+00 +3.3540e+00 -1.7859e+00 +1.1093e+00 -2.1683e+00 -3.6018e+00 +1.5596e+00 -2.1773e+00 +4.6673e-01 +3.6330e-01 -2.0471e+00 -2.9076e+00 +8.4410e-01 -9.0802e-01 +2.4617e+00 +4.5245e-01 -2.2696e+00
471118 +6.125739560e-06 +6.125739560e-06 +2.671600061e+02 +2.671600000e+02 -2.9285e+00 -3.6366e+00 -3.4643e+00 -1.8776e+00 +3.3534e+00 -1.7857e+00 +1.1093e+00 -2.1683e+00 -3.6018e+00 +1.5596e+00 -2.1779e+00 +4.6673e-01 +3.6330e-01 -2.0466e+00 -2.9076e+00 +8.4410e-01 -9.0837e-01 +2.4617e+00 +4.5245e-01 -2.2695e+00
572097 +3.132940265e-06 +3.132940265e-06 +2.671600031e+02 +2.671600000e+02 -2.9297e+00 -3.6367e+00 -3.4657e+00 -1.8776e+00 +3.3534e+00 -1.7857e+00 +1.1093e+00 -2.1683e+00 -3.6018e+00 +1.5596e+00 -2.1779e+00 +4.6673e-01 +3.6330e-01 -2.0466e+00 -2.9076e+00 +8.4410e-01 -9.0837e-01 +2.4617e+00 +4.5245e-01 -2.2696e+00
665447 +2.401846075e-06 +2.401846075e-06 +2.671600024e+02 +2.671600000e+02 -2.9297e+00 -3.6367e+00 -3.4657e+00 -1.8776e+00 +3.3534e+00 -1.7857e+00 +1.1093e+00 -2.1683e+00 -3.6028e+00 +1.5596e+00 -2.1780e+00 +4.6673e-01 +3.6330e-01 -2.0466e+00 -2.9076e+00 +8.4410e-01 -9.0802e-01 +2.4617e+00 +4.5245e-01 -2.2699e+00
815976 +1.350284379e-06 +1.350284379e-06 +2.671600014e+02 +2.671600000e+02 -2.9297e+00 -3.6367e+00 -3.4657e+00 -1.8776e+00 +3.3534e+00 -1.7857e+00 +1.1089e+00 -2.1688e+00 -3.6028e+00 +1.5596e+00 -2.1780e+00 +4.6726e-01 +3.6330e-01 -2.0465e+00 -2.9076e+00 +8.4427e-01 -9.0802e-01 +2.4617e+00 +4.5245e-01 -2.2707e+00
926525 +9.698218832e-07 +9.698218832e-07 +2.671600010e+02 +2.671600000e+02 -2.9297e+00 -3.6367e+00 -3.4657e+00 -1.8776e+00 +3.3534e+00 -1.7857e+00 +1.1089e+00 -2.1688e+00 -3.6028e+00 +1.5590e+00 -2.1780e+00 +4.6726e-01 +3.6312e-01 -2.0465e+00 -2.9069e+00 +8.4427e-01 -9.0802e-01 +2.4617e+00 +4.5231e-01 -2.2702e+00
1123397 +5.250141726e-07 +5.250141726e-07 +2.671600005e+02 +2.671600000e+02 -2.9297e+00 -3.6367e+00 -3.4657e+00 -1.8776e+00 +3.3534e+00 -1.7857e+00 +1.1089e+00 -2.1688e+00 -3.6028e+00 +1.5590e+00 -2.1783e+00 +4.6726e-01 +3.6312e-01 -2.0465e+00 -2.9069e+00 +8.4483e-01 -9.0802e-01 +2.4617e+00 +4.5231e-01 -2.2702e+00
1185015 +3.754931299e-07 +3.754931299e-07 +2.671600004e+02 +2.671600000e+02 -2.9297e+00 -3.6367e+00 -3.4656e+00 -1.8776e+00 +3.3534e+00 -1.7856e+00 +1.1089e+00 -2.1688e+00 -3.6028e+00 +1.5590e+00 -2.1783e+00 +4.6726e-01 +3.6312e-01 -2.0465e+00 -2.9071e+00 +8.4501e-01 -9.0802e-01 +2.4617e+00 +4.5212e-01 -2.2702e+00
1617147 +2.503318228e-07 +2.503318228e-07 +2.671600003e+02 +2.671600000e+02 -2.9297e+00 -3.6368e+00 -3.4656e+00 -1.8776e+00 +3.3535e+00 -1.7856e+00 +1.1089e+00 -2.1688e+00 -3.6028e+00 +1.5592e+00 -2.1783e+00 +4.6726e-01 +3.6320e-01 -2.0465e+00 -2.9071e+00 +8.4483e-01 -9.0802e-01 +2.4617e+00 +4.5188e-01 -2.2702e+00
1849064 +1.420576723e-07 +1.420576723e-07 +2.671600001e+02 +2.671600000e+02 -2.9297e+00 -3.6368e+00 -3.4656e+00 -1.8776e+00 +3.3535e+00 -1.7856e+00 +1.1088e+00 -2.1688e+00 -3.6026e+00 +1.5592e+00 -2.1783e+00 +4.6726e-01 +3.6320e-01 -2.0465e+00 -2.9071e+00 +8.4483e-01 -9.0802e-01 +2.4617e+00 +4.5188e-01 -2.2703e+00
% function evaluation | noise-free fitness - Fopt (3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.495432567e+02 +2.495432567e+02 +2.532532567e+02 +3.710000000e+00 -7.9593e-01 +1.2807e+00 -2.6898e-01 -4.2262e+00 +1.4144e+00 +9.2813e-01 -2.8874e-01 -2.9414e+00 -3.2014e+00 +2.2177e+00 +3.7865e+00 -4.5635e+00 +3.5102e+00 +4.8076e+00 -2.6243e+00 -9.8198e-01 +4.8693e+00 -4.7552e+00 -2.2899e+00 -4.0978e-01
395 +8.394226928e+01 +8.394226928e+01 +8.765226928e+01 +3.710000000e+00 +1.1465e+00 -4.8540e+00 +3.7186e+00 -1.0461e+00 +2.5521e-01 +3.5943e+00 +1.1447e+00 +1.9553e+00 +3.3727e+00 -9.7081e-01 +1.7518e+00 -3.0093e+00 +1.1924e+00 +1.7391e+00 -2.1621e+00 -3.7812e+00 +2.3809e+00 -3.8042e+00 -4.3211e+00 -4.6252e+00
583 +3.769759863e+01 +3.769759863e+01 +4.140759863e+01 +3.710000000e+00 +3.6004e+00 -4.8540e+00 +3.7186e+00 -1.0461e+00 +2.5521e-01 +3.5943e+00 +1.1447e+00 +1.9553e+00 +2.2429e+00 -3.8380e-01 -1.8906e+00 -1.9982e+00 -2.0451e+00 +8.5299e-02 -3.0006e+00 -4.7366e+00 -7.1525e-02 -4.3021e-01 -1.9253e+00 -1.3326e+00
771 +2.498571842e+01 +2.498571842e+01 +2.869571842e+01 +3.710000000e+00 +3.6004e+00 -4.8540e+00 +3.7186e+00 -1.0461e+00 +2.5521e-01 +5.6957e-01 -2.1330e+00 +1.9553e+00 +2.2429e+00 -3.8380e-01 -1.8906e+00 -1.9982e+00 -2.0451e+00 +8.5299e-02 -3.0006e+00 -4.7366e+00 -7.1525e-02 -4.3021e-01 -1.9253e+00 -1.3326e+00
1144 +1.496343289e+01 +1.496343289e+01 +1.867343289e+01 +3.710000000e+00 +4.2816e+00 -4.0195e+00 +3.2801e-01 -3.4246e+00 +2.5521e-01 +2.0668e+00 -1.8384e+00 +2.3186e+00 +2.2429e+00 -3.8380e-01 -1.8906e+00 -1.9982e+00 -2.0451e+00 +5.1433e-01 -3.0006e+00 -4.7366e+00 -7.1525e-02 -4.3021e-01 -1.9253e+00 -1.3326e+00
1702 +9.414278089e+00 +9.414278089e+00 +1.312427809e+01 +3.710000000e+00 +4.2816e+00 -4.0195e+00 +9.6492e-01 -1.0461e+00 +2.5521e-01 +1.2649e+00 -1.9780e+00 +2.5822e+00 +2.2429e+00 -3.8380e-01 -1.8985e+00 -1.9982e+00 -1.2880e+00 +8.5299e-02 -3.0006e+00 -3.8076e+00 -7.1525e-02 -4.3021e-01 -4.3865e+00 -1.3326e+00
2428 +5.989074612e+00 +5.989074612e+00 +9.699074612e+00 +3.710000000e+00 +4.2816e+00 -4.0195e+00 +3.2801e-01 -1.7916e+00 +7.5058e-01 +1.2649e+00 -1.8239e+00 +2.9069e+00 +2.2429e+00 -2.5924e-01 -1.8985e+00 -1.9982e+00 -1.2880e+00 +1.2748e-01 -2.0712e+00 -3.8076e+00 -7.1525e-02 -8.9366e-01 -4.3865e+00 -1.2434e+00
2985 +3.628937701e+00 +3.628937701e+00 +7.338937701e+00 +3.710000000e+00 +4.0390e+00 -4.0195e+00 +9.6492e-01 -1.7916e+00 +7.5058e-01 +1.2649e+00 -1.8239e+00 +2.9069e+00 +2.2429e+00 -3.8380e-01 -1.3167e+00 -2.7943e+00 -1.3567e+00 +1.2748e-01 -2.0712e+00 -3.8076e+00 -2.1216e-01 -1.1952e+00 -4.3865e+00 -1.3326e+00
3357 +2.340841687e+00 +2.340841687e+00 +6.050841687e+00 +3.710000000e+00 +4.2816e+00 -3.4712e+00 +1.2587e+00 -1.7916e+00 +7.5058e-01 +1.2649e+00 -1.8239e+00 +2.9069e+00 +2.2429e+00 -3.8380e-01 -1.3167e+00 -2.7943e+00 -1.3567e+00 +3.6187e-01 -2.0712e+00 -3.8076e+00 -7.3599e-01 -1.1952e+00 -4.0013e+00 -9.5499e-01
3920 +1.532946854e+00 +1.532946854e+00 +5.242946854e+00 +3.710000000e+00 +4.2816e+00 -3.4712e+00 +9.6492e-01 -1.7916e+00 +7.5058e-01 +1.2649e+00 -1.8239e+00 +2.9069e+00 +2.2429e+00 -5.9935e-01 -1.3167e+00 -2.7943e+00 -1.0111e+00 +1.2748e-01 -1.8876e+00 -3.8076e+00 -7.3599e-01 -1.1952e+00 -4.0013e+00 -9.5499e-01
4483 +8.227772090e-01 +8.227772090e-01 +4.532777209e+00 +3.710000000e+00 +4.2816e+00 -3.4712e+00 +9.6492e-01 -1.7916e+00 +7.5058e-01 +1.2649e+00 -1.8239e+00 +2.9069e+00 +1.8834e+00 -5.9935e-01 -1.3167e+00 -2.7943e+00 -1.0111e+00 -3.5827e-01 -1.8876e+00 -3.8076e+00 -7.3599e-01 -1.5296e+00 -3.8749e+00 -9.5499e-01
4848 +5.967843444e-01 +5.967843444e-01 +4.306784344e+00 +3.710000000e+00 +4.0470e+00 -3.4712e+00 +8.0315e-01 -1.8754e+00 +7.5058e-01 +1.2649e+00 -1.8239e+00 +3.1107e+00 +1.8834e+00 -5.9935e-01 -1.3167e+00 -2.7943e+00 -1.0111e+00 -3.5827e-01 -1.8876e+00 -3.8076e+00 -7.3599e-01 -1.5416e+00 -3.8708e+00 -9.5499e-01
5407 +3.469054840e-01 +3.469054840e-01 +4.056905484e+00 +3.710000000e+00 +4.0470e+00 -3.4712e+00 +8.0315e-01 -1.8754e+00 +7.5058e-01 +1.2649e+00 -1.8239e+00 +3.1107e+00 +1.8834e+00 -8.2424e-01 -1.3167e+00 -2.7943e+00 -8.7360e-01 -3.5827e-01 -1.8876e+00 -3.8076e+00 -7.3599e-01 -1.5416e+00 -3.5632e+00 -9.5499e-01
5960 +2.443444919e-01 +2.443444919e-01 +3.954344492e+00 +3.710000000e+00 +4.0470e+00 -3.2218e+00 +8.0315e-01 -1.8754e+00 +7.5058e-01 +1.4433e+00 -1.8239e+00 +3.1107e+00 +1.8834e+00 -8.2424e-01 -1.2458e+00 -2.7943e+00 -1.0111e+00 -3.5827e-01 -1.8876e+00 -3.8076e+00 -7.3599e-01 -1.5416e+00 -3.5632e+00 -9.5499e-01
6888 +1.462966535e-01 +1.462966535e-01 +3.856296654e+00 +3.710000000e+00 +4.0470e+00 -3.2218e+00 +8.0315e-01 -2.0791e+00 +7.5058e-01 +1.4433e+00 -1.8239e+00 +3.1107e+00 +1.8834e+00 -8.2424e-01 -1.2458e+00 -2.7943e+00 -8.7360e-01 -3.5827e-01 -1.8876e+00 -3.8076e+00 -1.0418e+00 -1.5416e+00 -3.4699e+00 -9.5499e-01
7073 +9.821737200e-02 +9.821737200e-02 +3.808217372e+00 +3.710000000e+00 +4.0470e+00 -3.2218e+00 +8.0315e-01 -1.8754e+00 +7.0282e-01 +1.4433e+00 -1.8239e+00 +3.1107e+00 +1.8834e+00 -8.2424e-01 -1.1333e+00 -2.8595e+00 -8.7360e-01 -3.5827e-01 -1.8876e+00 -3.8076e+00 -1.0418e+00 -1.7246e+00 -3.3561e+00 -9.5499e-01
8004 +5.888290548e-02 +5.888290548e-02 +3.768882905e+00 +3.710000000e+00 +4.0470e+00 -3.2218e+00 +8.0315e-01 -2.0791e+00 +6.8320e-01 +1.4433e+00 -1.8239e+00 +3.1561e+00 +1.7947e+00 -8.2424e-01 -1.1333e+00 -2.8595e+00 -8.7360e-01 -3.5827e-01 -1.8876e+00 -3.8076e+00 -1.0418e+00 -1.7246e+00 -3.4314e+00 -9.5499e-01
8755 +3.511335933e-02 +3.511335933e-02 +3.745113359e+00 +3.710000000e+00 +4.0470e+00 -3.2218e+00 +8.0315e-01 -2.0791e+00 +6.8320e-01 +1.4433e+00 -1.8239e+00 +3.1561e+00 +1.7947e+00 -8.2424e-01 -1.1333e+00 -2.8595e+00 -8.7360e-01 -3.5827e-01 -1.7941e+00 -3.8076e+00 -9.2516e-01 -1.7246e+00 -3.4314e+00 -1.0757e+00
9308 +2.404336756e-02 +2.404336756e-02 +3.734043368e+00 +3.710000000e+00 +4.0470e+00 -3.2218e+00 +8.0315e-01 -2.0791e+00 +6.8320e-01 +1.4433e+00 -1.8239e+00 +3.1561e+00 +1.7947e+00 -8.2424e-01 -1.1333e+00 -2.8595e+00 -8.7360e-01 -2.7418e-01 -1.7941e+00 -3.8076e+00 -9.2516e-01 -1.7246e+00 -3.4314e+00 -1.0757e+00
41429 +1.185806939e-02 +1.185806939e-02 +3.721858069e+00 +3.710000000e+00 +3.9396e+00 -3.2218e+00 +8.0315e-01 -2.0602e+00 +6.8320e-01 +1.4433e+00 -1.8239e+00 +3.1561e+00 +1.7947e+00 -8.2424e-01 -1.1515e+00 -2.9416e+00 -9.1150e-01 -1.9771e-01 -1.7802e+00 -3.8076e+00 -9.6765e-01 -1.7246e+00 -3.3999e+00 -1.0628e+00
42165 +8.629138686e-03 +8.629138686e-03 +3.718629139e+00 +3.710000000e+00 +3.9396e+00 -3.2218e+00 +8.0315e-01 -2.0602e+00 +6.8320e-01 +1.4433e+00 -1.8239e+00 +3.1999e+00 +1.7947e+00 -8.2424e-01 -1.1515e+00 -2.9416e+00 -9.1150e-01 -2.0912e-01 -1.7802e+00 -3.8275e+00 -9.6765e-01 -1.7246e+00 -3.3999e+00 -1.0628e+00
43661 +6.309183771e-03 +6.309183771e-03 +3.716309184e+00 +3.710000000e+00 +3.9398e+00 -3.2218e+00 +8.1723e-01 -2.0602e+00 +6.2576e-01 +1.4433e+00 -1.8239e+00 +3.1999e+00 +1.7947e+00 -8.2424e-01 -1.1515e+00 -2.9416e+00 -9.1150e-01 -2.0912e-01 -1.7802e+00 -3.8275e+00 -9.6765e-01 -1.7246e+00 -3.3999e+00 -1.0628e+00
45895 +2.957249028e-03 +2.957249028e-03 +3.712957249e+00 +3.710000000e+00 +3.9745e+00 -3.2218e+00 +8.1723e-01 -2.0602e+00 +6.3062e-01 +1.4433e+00 -1.8239e+00 +3.1999e+00 +1.7947e+00 -8.2424e-01 -1.1515e+00 -2.9416e+00 -9.1150e-01 -2.4994e-01 -1.7802e+00 -3.8275e+00 -9.4907e-01 -1.7246e+00 -3.3940e+00 -1.0628e+00
46243 +2.286409334e-03 +2.286409334e-03 +3.712286409e+00 +3.710000000e+00 +3.9745e+00 -3.2218e+00 +8.1723e-01 -2.0156e+00 +6.3062e-01 +1.4433e+00 -1.8239e+00 +3.1999e+00 +1.7947e+00 -8.2424e-01 -1.1515e+00 -2.9416e+00 -9.1150e-01 -2.4994e-01 -1.7802e+00 -3.8275e+00 -9.4907e-01 -1.7246e+00 -3.3940e+00 -1.0628e+00
104937 +1.330812804e-03 +1.330812804e-03 +3.711330813e+00 +3.710000000e+00 +3.9745e+00 -3.2218e+00 +8.1723e-01 -2.0156e+00 +6.3062e-01 +1.4433e+00 -1.8432e+00 +3.1999e+00 +1.7863e+00 -8.1345e-01 -1.1515e+00 -2.9416e+00 -9.0727e-01 -2.4994e-01 -1.7802e+00 -3.8275e+00 -9.4907e-01 -1.7246e+00 -3.3940e+00 -1.0628e+00
105536 +7.933353374e-04 +7.933353374e-04 +3.710793335e+00 +3.710000000e+00 +3.9745e+00 -3.2218e+00 +8.1723e-01 -2.0156e+00 +6.3062e-01 +1.4433e+00 -1.8432e+00 +3.1999e+00 +1.7863e+00 -8.1345e-01 -1.1515e+00 -2.9416e+00 -9.0727e-01 -2.4994e-01 -1.7802e+00 -3.8275e+00 -9.4907e-01 -1.7246e+00 -3.3940e+00 -1.0461e+00
106335 +5.981806985e-04 +5.981806985e-04 +3.710598181e+00 +3.710000000e+00 +3.9745e+00 -3.2218e+00 +8.1723e-01 -2.0156e+00 +6.3062e-01 +1.4433e+00 -1.8432e+00 +3.1999e+00 +1.7863e+00 -8.0202e-01 -1.1515e+00 -2.9416e+00 -9.0727e-01 -2.4994e-01 -1.7802e+00 -3.8275e+00 -9.4907e-01 -1.7246e+00 -3.3940e+00 -1.0461e+00
110728 +3.697125237e-04 +3.697125237e-04 +3.710369713e+00 +3.710000000e+00 +3.9819e+00 -3.2218e+00 +8.1723e-01 -2.0156e+00 +6.4295e-01 +1.4433e+00 -1.8432e+00 +3.1999e+00 +1.7863e+00 -8.0202e-01 -1.1515e+00 -2.9372e+00 -8.9935e-01 -2.4994e-01 -1.7745e+00 -3.8275e+00 -9.5923e-01 -1.7246e+00 -3.3940e+00 -1.0395e+00
129942 +2.154849041e-04 +2.154849041e-04 +3.710215485e+00 +3.710000000e+00 +3.9745e+00 -3.2198e+00 +8.1723e-01 -2.0241e+00 +6.3776e-01 +1.4421e+00 -1.8432e+00 +3.1999e+00 +1.7863e+00 -7.9846e-01 -1.1515e+00 -2.9356e+00 -9.0727e-01 -2.4994e-01 -1.7802e+00 -3.8275e+00 -9.5696e-01 -1.7246e+00 -3.3940e+00 -1.0357e+00
188235 +1.178319166e-04 +1.178319166e-04 +3.710117832e+00 +3.710000000e+00 +3.9782e+00 -3.2198e+00 +8.1723e-01 -2.0241e+00 +6.3776e-01 +1.4421e+00 -1.8432e+00 +3.1999e+00 +1.7863e+00 -7.9846e-01 -1.1515e+00 -2.9372e+00 -8.9935e-01 -2.4994e-01 -1.7745e+00 -3.8275e+00 -9.5923e-01 -1.7246e+00 -3.3948e+00 -1.0395e+00
201578 +9.838304764e-05 +9.838304764e-05 +3.710098383e+00 +3.710000000e+00 +3.9782e+00 -3.2178e+00 +8.1723e-01 -2.0290e+00 +6.3100e-01 +1.4433e+00 -1.8432e+00 +3.1999e+00 +1.7859e+00 -8.0202e-01 -1.1500e+00 -2.9372e+00 -8.9935e-01 -2.4994e-01 -1.7745e+00 -3.8275e+00 -9.5731e-01 -1.7246e+00 -3.3948e+00 -1.0391e+00
227797 +4.933268577e-05 +4.933268577e-05 +3.710049333e+00 +3.710000000e+00 +3.9782e+00 -3.2178e+00 +8.1723e-01 -2.0337e+00 +6.3776e-01 +1.4421e+00 -1.8432e+00 +3.1969e+00 +1.7863e+00 -7.9846e-01 -1.1466e+00 -2.9372e+00 -8.9935e-01 -2.4994e-01 -1.7745e+00 -3.8275e+00 -9.5923e-01 -1.7246e+00 -3.3948e+00 -1.0395e+00
287873 +3.626034184e-05 +3.626034184e-05 +3.710036260e+00 +3.710000000e+00 +3.9782e+00 -3.2178e+00 +8.1723e-01 -2.0290e+00 +6.3654e-01 +1.4421e+00 -1.8432e+00 +3.1999e+00 +1.7863e+00 -7.9846e-01 -1.1468e+00 -2.9356e+00 -8.9935e-01 -2.4994e-01 -1.7763e+00 -3.8275e+00 -9.5696e-01 -1.7246e+00 -3.3948e+00 -1.0391e+00
315268 +2.467193539e-05 +2.467193539e-05 +3.710024672e+00 +3.710000000e+00 +3.9782e+00 -3.2178e+00 +8.1862e-01 -2.0284e+00 +6.3776e-01 +1.4421e+00 -1.8422e+00 +3.1969e+00 +1.7863e+00 -7.9846e-01 -1.1466e+00 -2.9372e+00 -8.9935e-01 -2.4994e-01 -1.7772e+00 -3.8275e+00 -9.5696e-01 -1.7246e+00 -3.3948e+00 -1.0395e+00
385563 +1.333786064e-05 +1.333786064e-05 +3.710013338e+00 +3.710000000e+00 +3.9782e+00 -3.2178e+00 +8.1862e-01 -2.0284e+00 +6.3776e-01 +1.4421e+00 -1.8422e+00 +3.1969e+00 +1.7863e+00 -7.9846e-01 -1.1466e+00 -2.9364e+00 -8.9935e-01 -2.4994e-01 -1.7762e+00 -3.8300e+00 -9.5696e-01 -1.7231e+00 -3.3948e+00 -1.0395e+00
413231 +9.711529321e-06 +9.711529321e-06 +3.710009712e+00 +3.710000000e+00 +3.9782e+00 -3.2178e+00 +8.1998e-01 -2.0285e+00 +6.3776e-01 +1.4415e+00 -1.8422e+00 +3.1969e+00 +1.7863e+00 -7.9846e-01 -1.1466e+00 -2.9364e+00 -8.9935e-01 -2.4994e-01 -1.7762e+00 -3.8300e+00 -9.5696e-01 -1.7231e+00 -3.3948e+00 -1.0386e+00
431916 +6.194481605e-06 +6.194481605e-06 +3.710006194e+00 +3.710000000e+00 +3.9782e+00 -3.2178e+00 +8.1998e-01 -2.0303e+00 +6.3776e-01 +1.4421e+00 -1.8422e+00 +3.1969e+00 +1.7863e+00 -7.9846e-01 -1.1466e+00 -2.9356e+00 -8.9935e-01 -2.4994e-01 -1.7762e+00 -3.8300e+00 -9.5696e-01 -1.7231e+00 -3.3948e+00 -1.0384e+00
503502 +3.902835370e-06 +3.902835370e-06 +3.710003903e+00 +3.710000000e+00 +3.9782e+00 -3.2178e+00 +8.1998e-01 -2.0303e+00 +6.3654e-01 +1.4415e+00 -1.8422e+00 +3.1969e+00 +1.7859e+00 -7.9846e-01 -1.1466e+00 -2.9356e+00 -8.9755e-01 -2.4994e-01 -1.7762e+00 -3.8300e+00 -9.5696e-01 -1.7231e+00 -3.3948e+00 -1.0384e+00
558597 +2.154903810e-06 +2.154903810e-06 +3.710002155e+00 +3.710000000e+00 +3.9782e+00 -3.2178e+00 +8.1998e-01 -2.0302e+00 +6.3654e-01 +1.4415e+00 -1.8422e+00 +3.1969e+00 +1.7846e+00 -7.9896e-01 -1.1466e+00 -2.9356e+00 -8.9921e-01 -2.4994e-01 -1.7762e+00 -3.8300e+00 -9.5696e-01 -1.7231e+00 -3.3948e+00 -1.0384e+00
559185 +1.580109624e-06 +1.580109624e-06 +3.710001580e+00 +3.710000000e+00 +3.9782e+00 -3.2178e+00 +8.1998e-01 -2.0303e+00 +6.3654e-01 +1.4415e+00 -1.8422e+00 +3.1969e+00 +1.7846e+00 -7.9896e-01 -1.1466e+00 -2.9356e+00 -8.9921e-01 -2.5040e-01 -1.7772e+00 -3.8307e+00 -9.5671e-01 -1.7231e+00 -3.3948e+00 -1.0384e+00
