% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
194 +2.696155347e+01 +2.696155347e+01 +2.325155347e+01 -3.710000000e+00 +2.0753e+00 -3.3436e+00 +5.6973e-01
286 +2.082046341e+01 +2.082046341e+01 +1.711046341e+01 -3.710000000e+00 +9.8669e-01 -1.5476e+00 +1.4717e+00
378 +8.397719795e+00 +8.397719795e+00 +4.687719795e+00 -3.710000000e+00 +2.0753e+00 -3.3436e+00 +1.4717e+00
666 +6.122960096e+00 +6.122960096e+00 +2.412960096e+00 -3.710000000e+00 +2.1225e+00 -1.2402e+00 +1.4717e+00
1037 +3.556103050e+00 +3.556103050e+00 -1.538969504e-01 -3.710000000e+00 +2.1225e+00 -1.7796e+00 +1.4717e+00
3096 +1.834584778e+00 +1.834584778e+00 -1.875415222e+00 -3.710000000e+00 +2.1225e+00 -2.3291e+00 +1.7789e+00
3370 +1.250962847e+00 +1.250962847e+00 -2.459037153e+00 -3.710000000e+00 +2.1225e+00 -2.2761e+00 +1.7789e+00
3739 +4.603008503e-01 +4.603008503e-01 -3.249699150e+00 -3.710000000e+00 +3.0855e+00 -2.2792e+00 +1.7789e+00
9967 +3.827555622e-01 +3.827555622e-01 -3.327244438e+00 -3.710000000e+00 +3.0855e+00 -2.2842e+00 +1.7789e+00
10980 +1.141631785e-01 +1.141631785e-01 -3.595836822e+00 -3.710000000e+00 +3.1198e+00 -2.2846e+00 +1.7789e+00
18537 +7.679627230e-02 +7.679627230e-02 -3.633203728e+00 -3.710000000e+00 +3.1198e+00 -2.2879e+00 +1.7789e+00
19188 +4.836312226e-02 +4.836312226e-02 -3.661636878e+00 -3.710000000e+00 +3.1198e+00 -2.2924e+00 +1.7789e+00
25086 +4.488170091e-04 +4.488170091e-04 -3.709551183e+00 -3.710000000e+00 +3.1198e+00 -2.2952e+00 +1.7828e+00
241150 +2.140911068e-04 +2.140911068e-04 -3.709785909e+00 -3.710000000e+00 +3.1198e+00 -2.2952e+00 +1.7829e+00
% function evaluation | noise-free fitness - Fopt (1.321800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.851389504e+03 +1.851389504e+03 +1.983569504e+03 +1.321800000e+02 -1.0493e+00 +2.9152e+00 +4.6766e+00
184 +2.407692923e+01 +2.407692923e+01 +1.562569292e+02 +1.321800000e+02 +3.8696e+00 +1.3521e+00 +2.7115e+00
